community	medium	receiver	donor	compound	scs	mus	mps	smetana
kefir	MILK	L_kefiranofaciens	L_lactis	M_acald_e	n/a	0.29	1	0.29
kefir	MILK	L_kefiranofaciens	L_lactis	M_ala__D_e	n/a	0.25	1	0.25
kefir	MILK	L_kefiranofaciens	L_lactis	M_arg__L_e	n/a	0.01	1	0.01
kefir	MILK	L_kefiranofaciens	L_lactis	M_glc__D_e	n/a	0.57	1	0.57
kefir	MILK	L_kefiranofaciens	L_lactis	M_h2s_e	n/a	0.88	1	0.88
kefir	MILK	L_kefiranofaciens	L_lactis	M_nh4_e	n/a	0.04	1	0.04
kefir	MILK	L_kefiranofaciens	L_lactis	M_orn__L_e	n/a	0.7	1	0.7
kefir	MILK	L_kefiranofaciens	L_lactis	M_rib__D_e	n/a	0.07	1	0.07
kefir	MILK	L_kefiranofaciens	L_mesenteroides	M_acald_e	n/a	0.29	1	0.29
kefir	MILK	L_kefiranofaciens	L_mesenteroides	M_h2s_e	n/a	0.88	1	0.88
kefir	MILK	L_kefiranofaciens	L_mesenteroides	M_nh4_e	n/a	0.04	1	0.04
kefir	MILK	L_kefiranofaciens	L_mesenteroides	M_rib__D_e	n/a	0.07	1	0.07
kefir	MILK	L_kefiranofaciens	A_fabarum	M_acald_e	n/a	0.29	1	0.29
kefir	MILK	L_kefiranofaciens	A_fabarum	M_arg__L_e	n/a	0.01	1	0.01
kefir	MILK	L_kefiranofaciens	A_fabarum	M_cellb_e	n/a	0.05	1	0.05
kefir	MILK	L_kefiranofaciens	A_fabarum	M_h2s_e	n/a	0.88	1	0.88
kefir	MILK	L_kefiranofaciens	A_fabarum	M_nh4_e	n/a	0.04	1	0.04
kefir	MILK	L_kefiranofaciens	A_fabarum	M_oxa_e	n/a	0.02	1	0.02
kefir	MILK	L_kefiranofaciens	A_fabarum	M_ptrc_e	n/a	0.03	1	0.03
kefir	MILK	L_lactis	L_kefiranofaciens	M_acald_e	n/a	0.11	1	0.11
kefir	MILK	L_lactis	L_kefiranofaciens	M_cys__L_e	n/a	0.25	1	0.25
kefir	MILK	L_lactis	L_kefiranofaciens	M_gal_e	n/a	0.22	1	0.22
kefir	MILK	L_lactis	L_kefiranofaciens	M_glc__D_e	n/a	0.09	1	0.09
kefir	MILK	L_lactis	L_kefiranofaciens	M_h2s_e	n/a	0.7	1	0.7
kefir	MILK	L_lactis	L_kefiranofaciens	M_nh4_e	n/a	0.38	1	0.38
kefir	MILK	L_lactis	L_kefiranofaciens	M_ptrc_e	n/a	0.15	1	0.15
kefir	MILK	L_lactis	L_mesenteroides	M_acald_e	n/a	0.11	1	0.11
kefir	MILK	L_lactis	L_mesenteroides	M_glyc_e	n/a	0.69	1	0.69
kefir	MILK	L_lactis	L_mesenteroides	M_h2s_e	n/a	0.7	1	0.7
kefir	MILK	L_lactis	L_mesenteroides	M_nh4_e	n/a	0.38	1	0.38
kefir	MILK	L_lactis	A_fabarum	M_acald_e	n/a	0.11	1	0.11
kefir	MILK	L_lactis	A_fabarum	M_glyc_e	n/a	0.69	1	0.69
kefir	MILK	L_lactis	A_fabarum	M_h2s_e	n/a	0.7	1	0.7
kefir	MILK	L_lactis	A_fabarum	M_nh4_e	n/a	0.38	1	0.38
kefir	MILK	L_lactis	A_fabarum	M_ptrc_e	n/a	0.15	1	0.15
kefir	MILK	L_mesenteroides	L_kefiranofaciens	M_acald_e	n/a	0.17	1	0.17
kefir	MILK	L_mesenteroides	L_kefiranofaciens	M_cys__L_e	n/a	0.03	1	0.03
kefir	MILK	L_mesenteroides	L_kefiranofaciens	M_gal_e	n/a	0.02	1	0.02
