donor	receiver	compound	mass_rate	rate	frequency	community	medium
environment	L_kefiranofaciens	M_lcts_e	0.20215840844363053	0.5905959890913891	1.0	kefir	MILK
L_kefiranofaciens	environment	M_ac_e	0.08697122253575296	1.4729925112628561	1.0	kefir	MILK
L_kefiranofaciens	L_lactis	M_gal_e	0.07500053878715558	0.41631024541676565	0.84	kefir	MILK
L_lactis	environment	M_gal_e	0.06476302199653619	0.3594842119444446	0.02	kefir	MILK
L_kefiranofaciens	environment	M_gal_e	0.06112479446752697	0.33928927174831824	0.71	kefir	MILK
L_kefiranofaciens	environment	M_co2_e	0.05297293322205418	1.2036704171157175	1.0	kefir	MILK
L_lactis	environment	M_2h3mb_e	0.03606350112322638	0.3079118764512664	0.28	kefir	MILK
L_lactis	environment	M_co2_e	0.03382353806347515	0.7685508370573432	1.0	kefir	MILK
L_lactis	L_kefiranofaciens	M_acald_e	0.024316476576844836	0.5519898252273393	0.62	kefir	MILK
environment	L_lactis	M_lcts_e	0.023505204968737637	0.0686693167213883	0.99	kefir	MILK
L_lactis	environment	M_2mpa_e	0.019412047877400522	0.2228787462860391	0.62	kefir	MILK
L_mesenteroides	environment	M_co2_e	0.01736572986416908	0.39459048305863687	1.0	kefir	MILK
environment	L_mesenteroides	M_lcts_e	0.01610005886303161	0.04703554139472317	0.47	kefir	MILK
environment	L_kefiranofaciens	M_orn_e	0.012802681848812725	0.09613903785592319	1.0	kefir	MILK
L_lactis	L_mesenteroides	M_glyc_e	0.011918988739576539	0.12942269258499828	0.72	kefir	MILK
environment	L_mesenteroides	M_ile__L_e	0.010026675614515835	0.07643891256480656	1.0	kefir	MILK
L_kefiranofaciens	environment	M_rib__D_e	0.009983354059977615	0.06649828354838733	0.01	kefir	MILK
L_mesenteroides	environment	M_2mpa_e	0.00924887790669246	0.10619066702365364	0.83	kefir	MILK
L_mesenteroides	environment	M_2mba_e	0.009128997874954687	0.09027582018558204	0.88	kefir	MILK
L_mesenteroides	environment	M_3mba_e	0.008358681248976355	0.08265822993467736	0.79	kefir	MILK
environment	L_mesenteroides	M_leu__L_e	0.008148990810186423	0.062124279270535744	1.0	kefir	MILK
environment	L_mesenteroides	M_val__L_e	0.007990267762339076	0.06820783110923281	0.97	kefir	MILK
L_kefiranofaciens	environment	M_ptrc_e	0.006950361141956088	0.07708337372465353	0.94	kefir	MILK
L_mesenteroides	L_lactis	M_acald_e	0.006044625642385795	0.13721444557812504	0.08	kefir	MILK
environment	A_fabarum	M_glu__L_e	0.005936016634728617	0.04062398036373016	0.49	kefir	MILK
A_fabarum	environment	M_succ_e	0.005239048645665429	0.045136196892148234	1.0	kefir	MILK
A_fabarum	environment	M_4abutn_e	0.004720603773862773	0.05356537230392161	0.03	kefir	MILK
L_mesenteroides	L_kefiranofaciens	M_acald_e	0.004577811171802681	0.10391740681104049	0.44	kefir	MILK
L_mesenteroides	environment	M_diact_e	0.004287173077174163	0.04979931323600184	0.07	kefir	MILK
L_lactis	A_fabarum	M_4abut_e	0.00401719476371409	0.03895673135912437	0.23	kefir	MILK
L_mesenteroides	environment	M_nh4_e	0.003849704597750391	0.21341837078607134	0.95	kefir	MILK
A_fabarum	L_lactis	M_glu__L_e	0.003837916218713225	0.026265329546836014	0.18	kefir	MILK
environment	L_kefiranofaciens	M_ala__L_e	0.0030644615914643416	0.034396249212499994	1.0	kefir	MILK
environment	L_kefiranofaciens	M_asn__L_e	0.003008646880062179	0.02277249117499999	1.0	kefir	MILK
L_lactis	environment	M_3mba_e	0.002900861034563366	0.028686347913177028	0.28	kefir	MILK
environment	L_mesenteroides	M_ala__L_e	0.002564782213553511	0.028787728467178773	0.57	kefir	MILK
L_kefiranofaciens	A_fabarum	M_ptrc_e	0.0025588572749026765	0.02837915147152474	0.36	kefir	MILK
environment	L_kefiranofaciens	M_gln__L_e	0.002335138299299955	0.01597832755	1.0	kefir	MILK
L_lactis	environment	M_pacald_e	0.0019864836523172096	0.016533611425865805	0.33	kefir	MILK
environment	L_kefiranofaciens	M_thr__L_e	0.0019311205724243665	0.01621171949704301	1.0	kefir	MILK
environment	L_kefiranofaciens	M_asp__L_e	0.0018713845010059971	0.01416701301724142	0.29	kefir	MILK
A_fabarum	environment	M_co2_e	0.001828857527127716	0.04155597148633173	1.0	kefir	MILK
environment	L_lactis	M_val__L_e	0.001720055123420082	0.014683015994755959	0.63	kefir	MILK
environment	A_fabarum	M_pro__L_e	0.0016561542105047262	0.014385067071988354	0.99	kefir	MILK
environment	L_lactis	M_ser__L_e	0.0016355445675264161	0.01556293436842106	0.95	kefir	MILK
environment	L_kefiranofaciens	M_leu__L_e	0.0015842098202267481	0.012077310624999983	1.0	kefir	MILK
L_lactis	L_mesenteroides	M_acald_e	0.0015665874507583386	0.035561909243499536	0.14	kefir	MILK
A_fabarum	environment	M_4abut_e	0.0015512323268892375	0.01504306975107727	0.19	kefir	MILK
L_lactis	environment	M_4abut_e	0.0014981143895247892	0.014527958750000378	0.02	kefir	MILK
environment	A_fabarum	M_orn_e	0.0014926131364117366	0.011208463392304305	0.07	kefir	MILK
environment	L_kefiranofaciens	M_val__L_e	0.0014803032224586176	0.012636406587500013	1.0	kefir	MILK
L_kefiranofaciens	L_lactis	M_rib__D_e	0.0014619914722237147	0.009738202499999765	0.05	kefir	MILK
environment	L_mesenteroides	M_thr__L_e	0.0014508183226916408	0.01217959148926652	1.0	kefir	MILK
environment	L_lactis	M_leu__L_e	0.001430520991652582	0.01090565539437093	0.98	kefir	MILK
environment	L_kefiranofaciens	M_ser__L_e	0.0013424020954695898	0.012773553300000007	1.0	kefir	MILK
L_lactis	L_kefiranofaciens	M_arg__L_e	0.00129563033684	0.0073948	0.01	kefir	MILK
environment	L_lactis	M_phe__L_e	0.001283830762974243	0.007771904270535717	1.0	kefir	MILK
environment	L_lactis	M_glu__L_e	0.0012444173144711785	0.008516348194107477	0.82	kefir	MILK
environment	L_kefiranofaciens	M_lys__L_e	0.001238053622245788	0.0084109817816092	0.87	kefir	MILK
L_kefiranofaciens	L_mesenteroides	M_rib__D_e	0.001132137497506424	0.007541072857142826	0.07	kefir	MILK
environment	L_lactis	M_asp__L_e	0.0011203372459334619	0.00848133151594852	0.55	kefir	MILK
A_fabarum	L_kefiranofaciens	M_asp__L_e	0.0011079452606400219	0.008387520000000166	0.01	kefir	MILK
A_fabarum	environment	M_nh4_e	0.001092042222055066	0.060540196252144955	1.0	kefir	MILK
environment	L_kefiranofaciens	M_ile__L_e	0.0010848496090270954	0.0082704106125	1.0	kefir	MILK
L_kefiranofaciens	L_lactis	M_orn__L_e	0.0010832290527519998	0.00813428	0.01	kefir	MILK
A_fabarum	L_lactis	M_asp__L_e	0.0009780159627251783	0.007403911311410983	0.02	kefir	MILK
A_fabarum	L_lactis	M_acald_e	0.0009692863751366264	0.02200303218750003	0.01	kefir	MILK
environment	L_lactis	M_gln__L_e	0.0009619474388262913	0.006582184561855671	0.97	kefir	MILK
environment	L_lactis	M_ala__L_e	0.00094325882847625	0.010587362499999997	0.06	kefir	MILK
environment	L_mesenteroides	M_gln__L_e	0.0008340477961100147	0.005707023383838379	0.99	kefir	MILK
environment	L_kefiranofaciens	M_ade_e	0.0008021500482909147	0.005936289686263724	1.0	kefir	MILK
L_kefiranofaciens	environment	M_succ_e	0.0007933578510549972	0.006835049374999974	0.12	kefir	MILK
environment	L_mesenteroides	M_asp__L_e	0.0007822410583053508	0.0059218291322148215	0.69	kefir	MILK
environment	L_kefiranofaciens	M_phe__L_e	0.000765426619755	0.0046336500000000004	1.0	kefir	MILK
environment	L_lactis	M_gua_e	0.0007428671028742082	0.004915551224999871	1.0	kefir	MILK
A_fabarum	environment	M_asp__L_e	0.000740936461170938	0.005609139375000003	0.04	kefir	MILK
environment	L_lactis	M_asn__L_e	0.0006903681322892705	0.005225406246323508	1.0	kefir	MILK
A_fabarum	L_mesenteroides	M_asp__L_e	0.0006820359310082003	0.005163242459059236	0.03	kefir	MILK
L_kefiranofaciens	L_lactis	M_arg__L_e	0.0006436763609886452	0.003673777789001123	0.99	kefir	MILK
environment	L_kefiranofaciens	M_pro__L_e	0.0006362521063875	0.005526374999999999	1.0	kefir	MILK
environment	L_kefiranofaciens	M_gly_e	0.0006353282317379162	0.008463550026881745	0.11	kefir	MILK
environment	L_lactis	M_lys__L_e	0.00063139436348625	0.0042895125	1.0	kefir	MILK
environment	L_kefiranofaciens	M_tyr__L_e	0.0006246278559400001	0.0034473999999999993	1.0	kefir	MILK
environment	A_fabarum	M_nac_e	0.000567748456259503	0.004649815000000025	0.07	kefir	MILK
environment	L_lactis	M_thr__L_e	0.0005514042456365499	0.004629027875	1.0	kefir	MILK
