donor	receiver	compound	mass_rate	rate	frequency	community	medium
environment	L_lactis	M_lcts_e	0.18539364046353402	0.5416185322380247	1.0	kefir	MILK
L_lactis	environment	M_gal_e	0.17578121265699567	0.9757199210070624	0.03	kefir	MILK
L_kefiranofaciens	environment	M_ac_e	0.09758176087126616	1.6526984306806662	1.0	kefir	MILK
L_lactis	environment	M_co2_e	0.06690186355374311	1.5201686807108263	1.0	kefir	MILK
environment	L_mesenteroides	M_lcts_e	0.06496226839475111	0.18978411757192065	0.94	kefir	MILK
L_lactis	L_kefiranofaciens	M_acald_e	0.06313269768554973	1.433127313961322	0.97	kefir	MILK
L_lactis	L_mesenteroides	M_glyc_e	0.042447003859195885	0.4609120498102025	0.21	kefir	MILK
L_lactis	environment	M_12ppd__S_e	0.042011008871148406	0.5520928543888212	0.75	kefir	MILK
L_mesenteroides	environment	M_co2_e	0.03936466870161472	0.8944584396917646	1.0	kefir	MILK
environment	L_kefiranofaciens	M_lcts_e	0.037154975016764374	0.10854645813958569	1.0	kefir	MILK
environment	L_kefiranofaciens	M_o2_e	0.027585159250895122	0.8620685541612536	1.0	kefir	MILK
L_mesenteroides	environment	M_2mpa_e	0.025887017554297773	0.2972208833414022	1.0	kefir	MILK
L_lactis	environment	M_2h3mb_e	0.024774369256875605	0.2115247352084787	1.0	kefir	MILK
L_kefiranofaciens	environment	M_gal_e	0.019302345878210534	0.10714275496715911	0.34	kefir	MILK
L_kefiranofaciens	L_lactis	M_gal_e	0.019106519097248136	0.10605576683934059	0.68	kefir	MILK
L_mesenteroides	L_kefiranofaciens	M_acald_e	0.01465602966805295	0.3326953734201304	0.51	kefir	MILK
L_lactis	environment	M_glyc_e	0.014430745435776318	0.1566966771354799	0.02	kefir	MILK
environment	L_kefiranofaciens	M_orn_e	0.013164898963512424	0.09885903084750151	1.0	kefir	MILK
L_kefiranofaciens	environment	M_co2_e	0.010048640425888962	0.22832889321371433	1.0	kefir	MILK
L_kefiranofaciens	environment	M_ptrc_e	0.00795601032440212	0.08823658291524286	1.0	kefir	MILK
L_mesenteroides	environment	M_2mba_e	0.007482373062968684	0.07399249889707706	0.75	kefir	MILK
environment	L_lactis	M_ser__L_e	0.007408161726234342	0.07049195541666078	0.51	kefir	MILK
environment	L_mesenteroides	M_thr__L_e	0.006796999332453015	0.057060676672809105	1.0	kefir	MILK
environment	L_lactis	M_glu__L_e	0.006764387151996518	0.0462930526891858	0.64	kefir	MILK
L_mesenteroides	environment	M_h2s_e	0.005947132000755071	0.17450095070406424	1.0	kefir	MILK
L_lactis	environment	M_h2s_e	0.005844777650070967	0.1714976658432598	0.03	kefir	MILK
environment	L_lactis	M_gly_e	0.005757674559849798	0.07670108810133157	0.98	kefir	MILK
environment	L_mesenteroides	M_ser__L_e	0.005185963299357062	0.0493467485187503	1.0	kefir	MILK
environment	L_kefiranofaciens	M_asp__L_e	0.004718531157866089	0.03572087526631381	0.87	kefir	MILK
A_fabarum	environment	M_succ_e	0.0046051617560500585	0.03967504442113566	0.99	kefir	MILK
