donor	receiver	compound	mass_rate	rate	frequency	community	medium
environment	L_lactis	M_lcts_e	0.1896200603815634	0.5539658131204823	1.0	kefir	MILK
L_lactis	environment	M_gal_e	0.14048096419520173	0.7797765939583367	0.03	kefir	MILK
L_kefiranofaciens	environment	M_ac_e	0.09769641623172066	1.6546402969946201	1.0	kefir	MILK
L_lactis	environment	M_co2_e	0.06839439134580277	1.5540824446040684	1.0	kefir	MILK
L_lactis	L_kefiranofaciens	M_acald_e	0.06251038442559366	1.41900065434786	1.0	kefir	MILK
environment	L_mesenteroides	M_lcts_e	0.06095303789221936	0.17807134503691946	0.94	kefir	MILK
L_lactis	L_mesenteroides	M_glyc_e	0.04374124077903389	0.474965559773859	0.25	kefir	MILK
L_lactis	environment	M_12ppd__S_e	0.039988086694393486	0.5255083731116275	0.82	kefir	MILK
L_mesenteroides	environment	M_co2_e	0.0380759753220873	0.8651762760787396	1.0	kefir	MILK
environment	L_kefiranofaciens	M_lcts_e	0.03651449952656532	0.10667534004692236	1.0	kefir	MILK
environment	L_kefiranofaciens	M_o2_e	0.02754811771438532	0.8609109627356436	1.0	kefir	MILK
L_mesenteroides	environment	M_2mpa_e	0.025909515184956513	0.2974791890980794	1.0	kefir	MILK
L_lactis	environment	M_2h3mb_e	0.025525229893186258	0.21793561879656448	0.99	kefir	MILK
L_kefiranofaciens	environment	M_gal_e	0.021640033834462842	0.12011870770713974	0.26	kefir	MILK
L_mesenteroides	L_kefiranofaciens	M_acald_e	0.018770396906390017	0.42609249226807205	0.35	kefir	MILK
L_kefiranofaciens	L_lactis	M_gal_e	0.017883854946485492	0.09926904742508687	0.76	kefir	MILK
environment	L_kefiranofaciens	M_orn_e	0.01301006603932863	0.09769634567456416	1.0	kefir	MILK
L_kefiranofaciens	environment	M_co2_e	0.009804959008535624	0.22279187467559555	1.0	kefir	MILK
L_mesenteroides	environment	M_2mba_e	0.008340086525403415	0.08247434842384073	0.59	kefir	MILK
L_kefiranofaciens	environment	M_ptrc_e	0.007760011833082887	0.08606285055123271	1.0	kefir	MILK
environment	L_lactis	M_ser__L_e	0.00764349375379264	0.07273124438034602	0.53	kefir	MILK
environment	L_lactis	M_glu__L_e	0.007353008097455895	0.0503213644681866	0.66	kefir	MILK
A_fabarum	environment	M_ptrc_e	0.006262520351728224	0.06945483650000028	0.01	kefir	MILK
L_mesenteroides	environment	M_h2s_e	0.005968601966669901	0.175130923178737	1.0	kefir	MILK
environment	L_mesenteroides	M_thr__L_e	0.005918697801411554	0.049687352470068155	1.0	kefir	MILK
environment	L_lactis	M_gly_e	0.005786165553645172	0.07708063199574205	0.96	kefir	MILK
environment	L_lactis	M_thr__L_e	0.005329441401792402	0.044740556501512804	0.77	kefir	MILK
A_fabarum	environment	M_succ_e	0.005013130013141431	0.0431898305632834	0.95	kefir	MILK
environment	L_mesenteroides	M_ser__L_e	0.0047694410338699625	0.04538335381250541	1.0	kefir	MILK
environment	L_kefiranofaciens	M_asp__L_e	0.004762067666667086	0.03605046134901216	0.91	kefir	MILK
L_lactis	A_fabarum	M_4abut_e	0.004752018032620396	0.0460826772907949	0.33	kefir	MILK
L_lactis	environment	M_4abut_e	0.004182654210835725	0.04056127373545352	0.41	kefir	MILK
environment	A_fabarum	M_glu__L_e	0.0037740746250846655	0.025828420453491728	0.65	kefir	MILK
L_lactis	environment	M_2mpa_e	0.003716446379281179	0.04267024864583215	0.01	kefir	MILK
environment	L_lactis	M_val__L_e	0.003406348488153556	0.029077829340621877	0.99	kefir	MILK
environment	L_lactis	M_asp__L_e	0.0028112266864872035	0.021281935935918633	0.72	kefir	MILK
environment	L_mesenteroides	M_o2_e	0.0027361440716076246	0.08550770877681739	0.9	kefir	MILK
L_kefiranofaciens	environment	M_succ_e	0.002547097541412048	0.021944116939589624	1.0	kefir	MILK
L_lactis	environment	M_nh4_e	0.002517254532107779	0.13955054146498166	0.99	kefir	MILK
A_fabarum	L_lactis	M_glu__L_e	0.002193940136297179	0.015014543674743388	0.02	kefir	MILK
environment	L_kefiranofaciens	M_gln__L_e	0.0021849190002995833	0.014950442749995272	1.0	kefir	MILK
L_lactis	environment	M_3mba_e	0.0020649142943414992	0.020419747499999995	0.01	kefir	MILK
L_mesenteroides	environment	M_3mba_e	0.002029854799521667	0.0200730473809392	0.42	kefir	MILK
environment	L_kefiranofaciens	M_asn__L_e	0.0020050551018670967	0.015176290682445769	1.0	kefir	MILK
environment	A_fabarum	M_o2_e	0.001972208686087782	0.061633832708969785	1.0	kefir	MILK
environment	L_lactis	M_gln__L_e	0.0019506766291117216	0.013347624906593707	0.91	kefir	MILK
environment	L_mesenteroides	M_ile__L_e	0.0019188118151528598	0.014628167321424778	0.56	kefir	MILK
A_fabarum	environment	M_co2_e	0.0018828861616434884	0.042783629935434116	1.0	kefir	MILK
L_lactis	A_fabarum	M_glyc_e	0.0017656387786566018	0.019172241023053763	1.0	kefir	MILK
L_lactis	environment	M_R_3hhxa_e	0.0017419956155144513	0.013282538416251186	1.0	kefir	MILK
L_mesenteroides	environment	M_nh4_e	0.001733366676307328	0.09609368268114665	0.91	kefir	MILK
environment	L_mesenteroides	M_leu__L_e	0.001696843529834038	0.012935979899994496	1.0	kefir	MILK
environment	L_kefiranofaciens	M_leu__L_e	0.0016771337562541755	0.01278572135795468	1.0	kefir	MILK
environment	L_kefiranofaciens	M_val__L_e	0.0014187784359277064	0.012111208637499959	1.0	kefir	MILK
L_lactis	environment	M_acac_e	0.0013451326368838779	0.013307538416251185	1.0	kefir	MILK
L_kefiranofaciens	A_fabarum	M_ptrc_e	0.001344976996913196	0.014916543527253892	0.17	kefir	MILK
environment	A_fabarum	M_orn_e	0.0013049488222320032	0.009799237823928223	0.16	kefir	MILK
A_fabarum	L_kefiranofaciens	M_arg__L_e	0.0012956303368400002	0.0073948	0.01	kefir	MILK
environment	L_kefiranofaciens	M_ser__L_e	0.0012855613512576683	0.012232688325002577	1.0	kefir	MILK
L_lactis	L_mesenteroides	M_acald_e	0.001285204911612188	0.029174458408899134	0.36	kefir	MILK
L_lactis	L_kefiranofaciens	M_arg__L_e	0.001263703447800914	0.007212577530864201	0.81	kefir	MILK
environment	L_lactis	M_asn__L_e	0.0012338008908631755	0.009338656551914173	1.0	kefir	MILK
L_kefiranofaciens	L_lactis	M_orn__L_e	0.0012203304460446705	0.009163813983232285	0.82	kefir	MILK
environment	L_kefiranofaciens	M_lys__L_e	0.0012020282358724472	0.008166235622786164	0.77	kefir	MILK
environment	L_kefiranofaciens	M_ile__L_e	0.0011804301540334593	0.008999074149999993	1.0	kefir	MILK
environment	L_mesenteroides	M_val__L_e	0.0011732434103200503	0.010015232375354578	0.39	kefir	MILK
L_lactis	L_mesenteroides	M_rib__D_e	0.0011303206517452075	0.007528971000004714	0.1	kefir	MILK
environment	L_mesenteroides	M_ala__L_e	0.001117974898525748	0.012548417421879274	0.16	kefir	MILK
environment	L_mesenteroides	M_gln__L_e	0.0010225041521099642	0.006996547600005502	1.0	kefir	MILK
A_fabarum	environment	M_4abut_e	0.0009809232450107913	0.009512499539473574	0.04	kefir	MILK
A_fabarum	environment	M_nh4_e	0.0009421847883968539	0.052232460287103225	0.94	kefir	MILK
environment	L_kefiranofaciens	M_gua_e	0.0009110866531814002	0.006028659899999935	1.0	kefir	MILK
environment	L_kefiranofaciens	M_gly_e	0.0008014805388993152	0.010676954521587755	1.0	kefir	MILK
A_fabarum	L_kefiranofaciens	M_acald_e	0.0007779013858803728	0.0176585472274013	0.52	kefir	MILK
environment	L_kefiranofaciens	M_thr__L_e	0.0007701822444962757	0.006465664903409671	1.0	kefir	MILK
environment	L_lactis	M_leu__L_e	0.0007655004796746903	0.005835834974999998	1.0	kefir	MILK
environment	L_kefiranofaciens	M_phe__L_e	0.0007651861752129978	0.004632194425000001	1.0	kefir	MILK
environment	L_kefiranofaciens	M_ade_e	0.0006901484642624966	0.005107424999999978	1.0	kefir	MILK
environment	L_mesenteroides	M_asp__L_e	0.0006507912940956307	0.004926710000004776	0.71	kefir	MILK
environment	L_kefiranofaciens	M_pro__L_e	0.0006362521063875	0.005526374999999999	1.0	kefir	MILK
environment	L_lactis	M_lys__L_e	0.0006313943634862501	0.0042895125	1.0	kefir	MILK
environment	L_lactis	M_xan_e	0.0006248866619235757	0.004108104570707883	0.99	kefir	MILK
environment	L_kefiranofaciens	M_tyr__L_e	0.0006246278559400004	0.003447400000000003	1.0	kefir	MILK
environment	A_fabarum	M_ins_e	0.0006012350111059346	0.0022415273229174793	1.0	kefir	MILK
environment	A_fabarum	M_pro__L_e	0.0005784366067431186	0.005024199638001866	0.93	kefir	MILK
L_kefiranofaciens	L_lactis	M_arg__L_e	0.0005666551779389561	0.003234179989983101	0.13	kefir	MILK
A_fabarum	L_lactis	M_arg__L_e	0.0005556113739319897	0.003171147565109584	0.02	kefir	MILK
